_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
0.4355,0,13.2363,199.8857,114,21.3006,5.2911,0,0,5.5505,0,0,edge-test-control-plane-8fdld,12:14:58 12/19/22 UTC
0.9742,0,11.8913,78.9714,14.5,10.7365,1.175,0,0,1.3568,0,0,edge-test-md-0-9n7rn,12:15:03 12/19/22 UTC
0.9726,0,11.911,84.0762,14,10.7145,1.0088,0,0,1.3148,0,0,edge-test-md-0-qfssg,12:15:09 12/19/22 UTC
0.4908,0,11.911,44.5714,14,10.7018,0.5419,0,0,0.6661,0,0,edge-test-md-0-vd5z8,12:15:14 12/19/22 UTC
0.329,0,24.9246,107.3143,52.75,11.4049,2.4727,0,0,4.3827,0,0,starlab-01-control-plane-mmfrj,12:15:19 12/19/22 UTC
0.5521,0,8.6338,63.2381,3.375,3.6744,0.0271,0,0,0.5714,0,0,starlab-01-md-0-6bs5q,12:15:24 12/19/22 UTC
1.0949,0,8.6176,206.5143,2.5,3.6665,0.051,0,0,1.1393,0,0,starlab-01-md-0-77kds,12:15:29 12/19/22 UTC
1.1058,0,8.6048,223.6952,5.25,3.6689,0.0484,0,0,1.1394,0,0,starlab-01-md-0-7x9cz,12:15:34 12/19/22 UTC
1.1078,0,8.6501,129.5238,3.125,3.6862,0.0418,0,0,1.1384,0,0,starlab-01-md-0-9nc4l,12:15:40 12/19/22 UTC
1.1027,0,8.6172,137.8667,3.875,3.6691,0.048,0,0,1.1407,0,0,starlab-01-md-0-f6vqn,12:15:45 12/19/22 UTC
1.0673,0,26.252,344.9905,5.25,12.1947,2.3097,0,0,7.0279,0,0,starlab-edge-3-control-plane-f69n4,12:15:50 12/19/22 UTC
1.0685,0,7.1539,190.8952,8.125,3.6029,1.2654,0,0,1.5156,0,0,starlab-edge-3-md-0-5qhsv,12:15:55 12/19/22 UTC
1.0711,0,7.2539,227.6952,7.25,3.618,1.2397,0,0,1.4933,0,0,starlab-edge-3-md-0-fmhtr,12:16:00 12/19/22 UTC
1.0695,0,7.1429,135.1619,6.625,3.5997,1.2695,0,0,1.5178,0,0,starlab-edge-3-md-0-xbdtb,12:16:05 12/19/22 UTC
1.0722,0,26.1684,339.4286,4.75,10.8817,13.1799,0,0,12.0282,0,0,starlab-edge-4-control-plane-5j5jk,12:16:11 12/19/22 UTC
0.2817,0,26.3319,254.4381,95,11.9515,10.1982,0,0,13.401,0,0,starlab-edge-4-control-plane-l4k4d,12:16:16 12/19/22 UTC
0.529,0,26.4742,127.581,8.25,11.6498,6.6907,0,0,7.7576,0,0,starlab-edge-4-control-plane-xt8qc,12:16:21 12/19/22 UTC
0.5335,0,7.2376,109.7143,4.875,3.6269,0.706,0,0,0.7541,0,0,starlab-edge-4-md-0-6g4rd,12:16:26 12/19/22 UTC
1.0593,0,7.249,230.4762,7.125,3.6273,1.4432,0,0,1.5137,0,0,starlab-edge-4-md-0-ggxp5,12:16:31 12/19/22 UTC
1.0657,1.0286,7.1885,266.5143,6.75,3.1581,1.5764,0,0,1.5245,0,0,starlab-edge-4-md-0-gszgf,12:16:36 12/19/22 UTC
0.4365,0,13.238,227.4286,116,21.349,5.6359,0,0,6.0344,0,0,edge-test-control-plane-8fdld,12:16:41 12/19/22 UTC
0.9831,0,11.8917,88.8381,15.5,10.7738,1.0812,0,0,1.3367,0,0,edge-test-md-0-9n7rn,12:16:47 12/19/22 UTC
0.9811,0,11.9114,94.7048,16.5,10.7214,1.0942,0,0,1.3488,0,0,edge-test-md-0-qfssg,12:16:52 12/19/22 UTC
0.9751,0,11.9114,74.6667,16.5,10.7657,1.2267,0,0,1.3545,0,0,edge-test-md-0-vd5z8,12:16:57 12/19/22 UTC
0.659,0,24.9277,273.2571,54.5,11.4004,5.0125,0,0,8.7677,0,0,starlab-01-control-plane-mmfrj,12:17:02 12/19/22 UTC
1.0987,0,8.635,148.8381,2.625,3.6839,0.0521,0,0,1.1422,0,0,starlab-01-md-0-6bs5q,12:17:07 12/19/22 UTC
0.5544,0,8.6182,89.1429,2.375,3.6901,0.0252,0,0,0.5731,0,0,starlab-01-md-0-77kds,12:17:12 12/19/22 UTC
0.5532,0,8.6165,82.7048,4.625,3.639,0.0252,0,0,0.5686,0,0,starlab-01-md-0-7x9cz,12:17:17 12/19/22 UTC
0.5449,0,8.6506,54.1714,2.75,3.6577,0.0289,0,0,0.5744,0,0,starlab-01-md-0-9nc4l,12:17:23 12/19/22 UTC
1.0988,0,8.6184,124.4952,3.25,3.6711,0.0505,0,0,1.1401,0,0,starlab-01-md-0-f6vqn,12:17:28 12/19/22 UTC
1.0681,0,26.2577,403.1238,8.75,12.1781,2.314,0,0,7.8303,0,0,starlab-edge-3-control-plane-f69n4,12:17:33 12/19/22 UTC
1.0681,0,7.1657,161.1429,8.125,3.6042,1.5801,0,0,1.5267,0,0,starlab-edge-3-md-0-5qhsv,12:17:38 12/19/22 UTC
1.0685,0,7.2545,229.4857,7.25,3.6068,1.3496,0,0,1.5183,0,0,starlab-edge-3-md-0-fmhtr,12:17:43 12/19/22 UTC
1.0613,0,7.1547,168.1143,10.25,3.6014,1.5097,0,0,1.496,0,0,starlab-edge-3-md-0-xbdtb,12:17:48 12/19/22 UTC
1.0746,0,26.1351,282.9333,4,10.9018,13.2259,0,0,12.164,0,0,starlab-edge-4-control-plane-5j5jk,12:17:54 12/19/22 UTC
0.5768,0,25.775,367.7333,89,11.9096,20.914,0,0,28.1408,0,0,starlab-edge-4-control-plane-l4k4d,12:17:59 12/19/22 UTC
1.0587,0,26.4792,334.9714,7.25,11.6597,13.6888,0,0,15.7531,0,0,starlab-edge-4-control-plane-xt8qc,12:18:04 12/19/22 UTC
1.0693,0,7.2382,188.1524,4.875,3.6295,1.593,0,0,1.5031,0,0,starlab-edge-4-md-0-6g4rd,12:18:09 12/19/22 UTC
0.5312,0,7.2493,114.781,7.75,3.631,0.7041,0,0,0.7628,0,0,starlab-edge-4-md-0-ggxp5,12:18:14 12/19/22 UTC
0.5328,0.3048,7.2001,135.3905,6.375,3.1615,0.9133,0,0,0.7574,0,0,starlab-edge-4-md-0-gszgf,12:18:19 12/19/22 UTC
0.2101,0,13.2388,113.5619,108.5,21.3106,2.8217,0,0,3.0055,0,0,edge-test-control-plane-8fdld,12:18:24 12/19/22 UTC
0.9734,0,11.8922,73.9048,19.5,10.7575,1.0293,0,0,1.3325,0,0,edge-test-md-0-9n7rn,12:18:30 12/19/22 UTC
0.9822,0,11.9119,70.781,30,10.7105,1.1885,0,0,1.3466,0,0,edge-test-md-0-qfssg,12:18:35 12/19/22 UTC
0.9797,0,11.9119,91.0095,31.5,10.7738,1.0202,0,0,1.3216,0,0,edge-test-md-0-vd5z8,12:18:40 12/19/22 UTC
0.6539,0,24.9308,273.1048,56.5,11.4182,5.1053,0,0,9.0296,0,0,starlab-01-control-plane-mmfrj,12:18:45 12/19/22 UTC
1.1089,0,8.6363,110.2476,2.25,3.6761,0.0529,0,0,1.1423,0,0,starlab-01-md-0-6bs5q,12:18:50 12/19/22 UTC
1.1048,0,8.6194,176.6095,2.375,3.6611,0.0464,0,0,1.1391,0,0,starlab-01-md-0-77kds,12:18:55 12/19/22 UTC
1.0942,0,8.6178,190.8571,3.375,3.6456,0.0503,0,0,1.1414,0,0,starlab-01-md-0-7x9cz,12:19:00 12/19/22 UTC
1.1078,0,8.6519,178.5524,3.25,3.663,0.0503,0,0,1.1412,0,0,starlab-01-md-0-9nc4l,12:19:06 12/19/22 UTC
1.1039,0,8.6191,106.6286,3.625,3.6641,0.0539,0,0,1.142,0,0,starlab-01-md-0-f6vqn,12:19:11 12/19/22 UTC
0.534,0,26.2981,135.5429,9,12.2017,1.247,0,0,4.0923,0,0,starlab-edge-3-control-plane-f69n4,12:19:16 12/19/22 UTC
0.526,0,7.166,115.5048,7.625,3.6085,0.6432,0,0,0.7476,0,0,starlab-edge-3-md-0-5qhsv,12:19:21 12/19/22 UTC
