_CPU_utilization,_disk_read,_disk_utilization,_disk_write,_load_average,_mem_utilization,_net_rx,_net_rx_drop,_net_rx_err,_net_tx,_net_tx_drop,_net_tx_err,label,timestamp
0.5238,0,18.1766,214.7429,12.5,13.7999,7.5848,0,0,11.2617,0,0,egde-sample-small-01-control-plane-f7dd6,17:58:20 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:58:28 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:58:36 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:58:44 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:58:52 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:00 12/22/22 UTC
1.0469,0,18.2174,403.5048,13.25,14.5793,14.9944,0,0,22.7391,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:08 12/22/22 UTC
0.5231,0,18.2174,188.7619,13.25,14.5793,7.4096,0,0,11.4774,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:16 12/22/22 UTC
0.5231,0,18.2174,188.7619,13.25,14.5793,7.4096,0,0,11.4774,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:24 12/22/22 UTC
1.0455,0,18.2207,328.1905,14.5,14.6433,15.5264,0,0,24.6284,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:32 12/22/22 UTC
1.0455,0,18.2207,328.1905,14.5,14.6433,15.5264,0,0,24.6284,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:40 12/22/22 UTC
1.0455,0,18.2207,328.1905,14.5,14.6433,15.5264,0,0,24.6284,0,0,egde-sample-small-01-control-plane-f7dd6,17:59:49 12/22/22 UTC
